pin,pin_name,gpio,group,signal,old_net,direction,target,reset_requirement,notes,board_side_at_minus90
66,GPIO51,51,空闲GPIO,SPARE_GPIO51,,预留,,不接外设，固件避免悬空,供后续扩展；不得替代电源/USB专用脚,右
67,GPIO52,52,屏幕QSPI,LCD_CS_N,ESP_SPI2_CS,输出/总线,JDISP1.4,CS上拉、CLK低；解除传统JTAG复用,手册F2=SPI2_CS；SPI2_HOST；SDK IOMUX路径待验证，先按GPIO Matrix <=40MHz调试,右
68,GPIO53,53,屏幕QSPI,LCD_CLK,ESP_SPI2_CLK,输出/总线,JDISP1.5,CS上拉、CLK低；解除传统JTAG复用,手册F2=SPI2_CK；SPI2_HOST；SDK IOMUX路径待验证，先按GPIO Matrix <=40MHz调试,右
69,MTDO,54,屏幕QSPI,LCD_D0,ESP_SPI2_D0,输出/总线,JDISP1.7,CS上拉、CLK低；解除传统JTAG复用,手册F2=SPI2_D；SPI2_HOST；SDK IOMUX路径待验证，先按GPIO Matrix <=40MHz调试,右
70,MTCK,55,屏幕QSPI,LCD_D1,ESP_SPI2_D1,输出/总线,JDISP1.6,CS上拉、CLK低；解除传统JTAG复用,手册F2=SPI2_Q；SPI2_HOST；SDK IOMUX路径待验证，先按GPIO Matrix <=40MHz调试,右
71,MTDI,56,屏幕QSPI,LCD_D3,ESP_SPI2_D3,输出/总线,JDISP1.22,CS上拉、CLK低；解除传统JTAG复用,手册F2=SPI2_HOLD；SPI2_HOST；SDK IOMUX路径待验证，先按GPIO Matrix <=40MHz调试,右
72,MTMS,57,屏幕QSPI,LCD_D2,ESP_SPI2_D2,输出/总线,JDISP1.23,CS上拉、CLK低；解除传统JTAG复用,手册F2=SPI2_WP；SPI2_HOST；SDK IOMUX路径待验证，先按GPIO Matrix <=40MHz调试,右
73,GPIO58,58,下载UART0,UART0_TX,CH343P_UART_RX,输出,U12.5 RXD,UART0默认输出,ESP TX接CH343 RX，勿按旧网络后缀反接,右
74,GPIO59,59,下载UART0,UART0_RX,CH343P_UART_TX,输入,U12.4 TXD,UART0输入,ESP RX接CH343 TX,右
75,GPIO60,60,启动配置,BOOT_MODE_H,ESP_BOOT2,启动采样,启动上拉/下载电路,10k候选上拉3.3V,下载时必须高；不复用普通外设,右
76,GPIO61,61,启动配置,BOOT_DOWNLOAD_N,ESP_BOOT1,启动采样,启动上拉/下载电路,10k候选上拉3.3V,正常高；下载时拉低，同时GPIO60高；通过下载控制电路,右
77,VDDA1,,电源,3V3_VDDA1,,专用,3.3V域，局部滤波/去耦,按每个电源脚放去耦,VDDA模拟电源滤波不可省略,右
78,XTAL_N,,晶振,XTAL_N,,专用,40MHz晶振/匹配,专用时钟,按乐鑫参考设计，不能随意加长/过孔,右
79,XTAL_P,,晶振,XTAL_P,,专用,40MHz晶振/匹配,专用时钟,需要参考设计指定的串联电感/负载网络,右
80,VDDA2,,电源,3V3_VDDA2,,专用,3.3V域，局部滤波/去耦,按每个电源脚放去耦,VDDA模拟电源滤波不可省略,右
81,GND,,地,GND_EP,,专用,连续GND/散热过孔,可靠接地,封装中央裸露焊盘，不是GPIO81,中央
