Ref,Value,Side,X_from_outline_mm,Y_from_outline_mm,Angle_deg,KiCad_X_mm,KiCad_Y_mm,Reason
D1,USBLC6-2SC6,B,34.45,66.0,180.0,163.318,133.647,USB ESD behind connector input pads; short paired vias before protected bus to mux
D2,B5817W,F,29.632,60.506,90.0,158.5,128.153,Existing relative placement retained
FPC1,HC-FPC-05-10-12RLTAG,B,20.031,49.711,-90.0,148.899,117.358,Locked enclosure/interface anchor
JDISP1,OK-23GF024-04,F,30.0,29.2,90.0,158.868,96.847,Front BTB candidate; verify native screen tail folding and pin 1 before freeze
L1,2.2uH,F,35.497,48.2135,0.0,164.365,115.8605,Existing relative placement retained
L2,2.2uH,F,33.696,56.315,-90.0,162.564,123.962,Existing relative placement retained
L3,BLM18KG601SN1D,B,42.0,57.8,0.0,170.868,125.447,Motor driver grouped close to motor wire pads
R1,10mΩ,F,43.526,46.663,90.0,172.394,114.31,Existing relative placement retained
R10,10K,B,29.5,36.0,-90.0,158.368,103.647,Pullups/pulldowns grouped by destination bus
R11,100K,F,43.2435,62.085,180.0,172.1115,129.732,Existing relative placement retained
R12,100K,F,43.2435,63.355,180.0,172.1115,131.002,Existing relative placement retained
R13,5K23,F,43.2435,59.545,180.0,172.1115,127.192,Existing relative placement retained
R14,30K1,F,43.2435,58.275,180.0,172.1115,125.922,Existing relative placement retained
R17,200K,F,15.078,39.376,90.0,143.946,107.023,Level translator between MCU corridor and DAC
R18,10K,F,11.649,41.027,180.0,140.517,108.674,Level translator between MCU corridor and DAC
R19,10K,F,11.649,42.424,180.0,140.517,110.071,Level translator between MCU corridor and DAC
R2,1K,B,36.414,50.155,90.0,165.282,117.802,Battery gauge and local network closer to battery pads
R20,10K,B,34.0,20.0,-90.0,162.868,87.647,Provisional core support on back; reassess after bare-chip pinout
R21,100K,F,25.873,60.76,-90.0,154.741,128.407,Existing relative placement retained
R22,10K,B,28.0,36.0,-90.0,156.868,103.647,Pullups/pulldowns grouped by destination bus
R25,10K,B,36.0,20.0,-90.0,164.868,87.647,Provisional core support on back; reassess after bare-chip pinout
R26,10K,B,20.0,34.0,180.0,148.868,101.647,Pullups/pulldowns grouped by destination bus
R27,0/NC,F,28.7,51.2,0.0,157.568,118.847,Local clearance refinement while keeping destination circuit close
R28,0/NC,F,28.7,52.5,180.0,157.568,120.147,Local clearance refinement while keeping destination circuit close
R29,10K,B,22.0,11.0,-90.0,150.868,78.647,Provisional core support on back; reassess after bare-chip pinout
R3,22K1,F,41.3135,50.271,90.0,170.1815,117.918,Existing relative placement retained
R30,10K,B,22.0,34.0,180.0,150.868,101.647,Pullups/pulldowns grouped by destination bus
R31,5K1,F,42.51,70.412,-90.0,171.378,138.059,Existing relative placement retained
R32,5K1,F,40.986,70.412,-90.0,169.854,138.059,Existing relative placement retained
R33,1K,B,39.716,49.901,-90.0,168.584,117.548,Battery gauge and local network closer to battery pads
R34,0R,B,41.113,49.901,-90.0,169.981,117.548,Battery gauge and local network closer to battery pads
R35,10K,B,11.522,9.325,0.0,140.39,76.972,Existing relative placement retained
R36,10K,B,11.522,17.58,0.0,140.39,85.227,Existing relative placement retained
R37,10K,B,11.522,16.31,0.0,140.39,83.957,Existing relative placement retained
R38,10K,B,11.522,10.595,0.0,140.39,78.242,Existing relative placement retained
R39,10K,B,11.522,15.04,0.0,140.39,82.687,Existing relative placement retained
R4,100K,F,41.3135,47.9085,90.0,170.1815,115.5555,Existing relative placement retained
R42,10K,B,34.0,38.0,90.0,162.868,105.647,Pullups/pulldowns grouped by destination bus
R43,10K,B,38.0,38.0,0.0,166.868,105.647,Pullups/pulldowns grouped by destination bus
R44,10K,B,39.0,57.5,0.0,167.868,125.147,Pullups/pulldowns grouped by destination bus
R45,10K,B,34.0,33.5,-90.0,162.868,101.147,Pullups/pulldowns grouped by destination bus
R46,10K,B,36.0,33.5,-90.0,164.868,101.147,Pullups/pulldowns grouped by destination bus
R5,100K,F,38.573,46.155,0.0,167.441,113.802,Existing relative placement retained
R6,10K,B,36.0,38.0,-90.0,164.868,105.647,Pullups/pulldowns grouped by destination bus
R7,10K,B,39.5,40.0,-90.0,168.368,107.647,Pullups/pulldowns grouped by destination bus
R8,10K,B,41.0,40.0,-90.0,169.868,107.647,Pullups/pulldowns grouped by destination bus
R9,700R,F,43.2435,60.815,180.0,172.1115,128.462,Existing relative placement retained
SCREW1,,F,3.3,63.4995,0.0,132.168,131.1465,Locked enclosure/interface anchor
SCREW2,,F,10.572,33.361,0.0,139.44,101.008,Locked enclosure/interface anchor
SCREW3,,F,44.499,41.499,0.0,173.367,109.146,Locked enclosure/interface anchor
SCREW5,,F,9.8075,2.7475,0.0,138.6755,70.3945,Locked enclosure/interface anchor
U1,RX8130CE:BB,B,27.0,44.683,0.0,155.868,112.33,RTC separate from switching power; I2C bus corridor
U10,W25Q16JVSSIQ,F,18.6,28.2,-90.0,147.468,95.847,Flash below-left of S31; clock pins toward core; boot flash capacity selection remains open
U11,DRV2605LDGSR,B,38.0,62.0,90.0,166.868,129.647,Motor driver grouped close to motor wire pads
U12,CH343P,F,25.4,55.5005,180.0,154.268,123.1475,USB-UART bridge beside USB mux; avoids long differential pair branch
U14,STC3115AIQT,B,38.954,47.107,0.0,167.822,114.754,Battery gauge and local network closer to battery pads
U15,LSM6DS3TR-C,F,5.192,28.605,90.0,134.06,96.252,Existing relative placement retained
U17,SGM7229YMS10G/TR,F,23.333,61.954,0.0,152.201,129.601,Existing relative placement retained
U2,CS43131-CNZ,F,10.252,48.441,0.0,139.12,116.088,DAC local circuit retained: moving downward conflicts with motor carrier
U3,DSCB_BQ25895RTW,F,38.0845,60.931,90.0,166.9525,128.578,Existing relative placement retained
U4,TLV62568DBVR,F,38.799,49.1025,90.0,167.667,116.7495,Existing relative placement retained
U5,ME6211C18M5G-N,F,20.5,50.0,0.0,149.368,117.647,"1.8V audio LDO adjacent to DAC, separated from switching regulator"
U6,GEK100,B,26.127,53.14,90.0,154.995,120.787,Existing relative placement retained
U7,PCA9306DQER,F,14.57,41.535,-90.0,143.438,109.182,Level translator between MCU corridor and DAC
U8,SN74LV4T125RGYR,F,20.8985,44.5365,-90.0,149.7665,112.1835,I2S translator between MCU corridor and DAC
USB1,TYPE-C 16PIN 2MD(073),F,34.448,70.9455,0.0,163.316,138.5925,Locked enclosure/interface anchor
X1,26MHz,F,4.0425,42.5365,-90.0,132.9105,110.1835,DAC local circuit retained: moving downward conflicts with motor carrier
